ak,al,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy
2.0,130.0,56.0,356.0,865.0,38.0,12.0,6.0,2.0,1266.0,503.0,9.0,45.0,32.0,108.0,89.0,27.0,40.0,239.0,103.0,64.0,2.0,73.0,49.0,60.0,188.0,7.0,179.0,13.0,16.0,4.0,43.0,29.0,115.0,70.0,157.0,58.0,30.0,154.0,56.0,19.0,238.0,7.0,143.0,1525.0,27.0,55.0,0.0,93.0,41.0,21.0,1.0
4.0,115.0,88.0,265.0,914.0,22.0,7.0,7.0,7.0,873.0,430.0,7.0,60.0,37.0,136.0,79.0,25.0,59.0,221.0,83.0,48.0,4.0,67.0,61.0,59.0,156.0,8.0,184.0,11.0,17.0,6.0,34.0,31.0,130.0,59.0,152.0,65.0,32.0,110.0,55.0,7.0,235.0,8.0,201.0,1384.0,23.0,86.0,0.0,82.0,42.0,18.0,9.0
5.0,149.0,97.0,259.0,786.0,26.0,5.0,2.0,5.0,794.0,472.0,16.0,75.0,52.0,139.0,288.0,18.0,49.0,163.0,128.0,65.0,1.0,89.0,49.0,82.0,201.0,14.0,161.0,6.0,13.0,3.0,30.0,25.0,105.0,52.0,283.0,73.0,38.0,95.0,44.0,12.0,205.0,6.0,180.0,1140.0,21.0,102.0,0.0,42.0,41.0,35.0,0.0
5.0,114.0,110.0,192.0,790.0,27.0,3.0,5.0,5.0,730.0,433.0,22.0,55.0,26.0,152.0,73.0,34.0,75.0,162.0,76.0,48.0,2.0,58.0,41.0,150.0,143.0,13.0,198.0,14.0,12.0,1.0,52.0,33.0,87.0,51.0,132.0,54.0,33.0,87.0,43.0,11.0,178.0,6.0,118.0,961.0,15.0,109.0,0.0,48.0,46.0,33.0,5.0
2.0,75.0,59.0,103.0,684.0,17.0,12.0,5.0,6.0,759.0,296.0,14.0,53.0,31.0,138.0,74.0,39.0,64.0,135.0,85.0,38.0,1.0,105.0,62.0,47.0,107.0,18.0,162.0,12.0,31.0,3.0,42.0,20.0,60.0,44.0,156.0,52.0,34.0,77.0,62.0,11.0,177.0,11.0,213.0,718.0,11.0,46.0,0.0,38.0,42.0,20.0,0.0
1.0,86.0,228.0,154.0,606.0,26.0,12.0,7.0,6.0,688.0,269.0,21.0,47.0,27.0,141.0,68.0,76.0,51.0,133.0,100.0,40.0,5.0,59.0,46.0,90.0,119.0,22.0,191.0,24.0,8.0,2.0,36.0,26.0,82.0,57.0,200.0,41.0,15.0,144.0,69.0,13.0,135.0,18.0,140.0,703.0,7.0,291.0,0.0,45.0,32.0,44.0,11.0
11.0,64.0,127.0,147.0,585.0,27.0,9.0,4.0,12.0,736.0,344.0,12.0,50.0,18.0,151.0,74.0,34.0,46.0,85.0,81.0,48.0,1.0,75.0,43.0,268.0,109.0,16.0,198.0,19.0,28.0,1.0,36.0,21.0,54.0,37.0,126.0,60.0,24.0,125.0,36.0,23.0,127.0,16.0,159.0,626.0,13.0,144.0,0.0,64.0,39.0,24.0,1.0
2.0,57.0,117.0,83.0,563.0,27.0,12.0,7.0,12.0,639.0,216.0,24.0,66.0,20.0,190.0,94.0,66.0,52.0,104.0,119.0,32.0,2.0,80.0,72.0,111.0,96.0,14.0,193.0,63.0,29.0,4.0,42.0,22.0,38.0,92.0,184.0,49.0,18.0,110.0,42.0,14.0,127.0,30.0,200.0,503.0,25.0,114.0,0.0,44.0,96.0,24.0,3.0
2.0,106.0,144.0,53.0,426.0,45.0,17.0,6.0,9.0,693.0,254.0,13.0,79.0,27.0,193.0,115.0,68.0,43.0,75.0,94.0,42.0,1.0,95.0,61.0,249.0,88.0,23.0,136.0,65.0,19.0,13.0,38.0,19.0,38.0,66.0,74.0,43.0,35.0,152.0,44.0,12.0,100.0,38.0,191.0,532.0,35.0,85.0,0.0,48.0,88.0,24.0,0.0
7.0,124.0,135.0,68.0,399.0,63.0,12.0,4.0,11.0,603.0,514.0,18.0,68.0,22.0,230.0,148.0,93.0,66.0,88.0,133.0,39.0,3.0,121.0,10.0,162.0,70.0,31.0,164.0,65.0,29.0,11.0,37.0,23.0,50.0,94.0,68.0,73.0,21.0,98.0,36.0,12.0,97.0,37.0,141.0,456.0,31.0,75.0,0.0,49.0,109.0,17.0,4.0
1.0,78.0,108.0,47.0,365.0,47.0,35.0,1.0,18.0,462.0,171.0,25.0,106.0,42.0,291.0,193.0,116.0,89.0,81.0,127.0,55.0,0.0,182.0,284.0,261.0,92.0,56.0,190.0,52.0,49.0,6.0,74.0,33.0,37.0,90.0,139.0,78.0,36.0,200.0,35.0,23.0,152.0,52.0,222.0,490.0,28.0,146.0,0.0,67.0,204.0,24.0,11.0
15.0,107.0,145.0,107.0,307.0,63.0,38.0,4.0,27.0,360.0,164.0,9.0,82.0,58.0,274.0,233.0,54.0,80.0,81.0,149.0,55.0,1.0,174.0,131.0,221.0,85.0,79.0,175.0,75.0,58.0,10.0,66.0,59.0,29.0,114.0,97.0,96.0,38.0,151.0,31.0,27.0,131.0,62.0,220.0,570.0,42.0,75.0,0.0,69.0,267.0,30.0,19.0
1.0,110.0,126.0,183.0,311.0,107.0,55.0,8.0,9.0,332.0,218.0,2.0,113.0,56.0,416.0,266.0,137.0,76.0,95.0,136.0,53.0,5.0,181.0,171.0,103.0,94.0,80.0,381.0,108.0,46.0,6.0,78.0,92.0,72.0,128.0,214.0,93.0,39.0,203.0,40.0,23.0,102.0,99.0,241.0,665.0,45.0,60.0,1.0,72.0,267.0,49.0,17.0
