"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-08-01","2002-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","17"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-09-01","2002-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","11"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-10-01","2002-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","26"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-11-01","2002-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","101"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2002-12-01","2002-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","164"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-01-01","2003-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","255"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-02-01","2003-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","287"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-03-01","2003-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","236"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-04-01","2003-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","165"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-05-01","2003-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","60"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-06-01","2003-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","25"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-07-01","2003-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","16"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2003-08-01","2003-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-01-01","2004-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","311"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-02-01","2004-02-29","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","377"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-03-01","2004-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","139"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-04-01","2004-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","57"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-05-01","2004-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","42"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-06-01","2004-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","112"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-07-01","2004-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","67"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-08-01","2004-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","52"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-09-01","2004-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","136"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-10-01","2004-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","398"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-11-01","2004-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","2708"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2004-12-01","2004-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","2609"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2005-01-01","2005-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1978"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2005-02-01","2005-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","890"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2005-03-01","2005-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1009"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ACRE","BR-AC","NA","NA","2005-04-01","2005-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-01-01","1993-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","41"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-02-01","1993-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","46"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-03-01","1993-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","114"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-04-01","1993-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","60"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-05-01","1993-05-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","139"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-06-01","1993-06-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","142"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1993-07-01","1993-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","63"
